given_date,given_rank,track_id,spotify_artist,given_artist,spotify_title,given_title,given_last_week,given_peak_rank,given_weeks_on_board
2021-11-06,1,0gplL1WMoJ6iYaPgMCL0gX,Adele,Adele,Easy On Me,Easy On Me,1.0,1,3
2021-11-06,2,5HCyWlXZPP0y6Gqq8TgA20,The Kid LAROI,The Kid LAROI & Justin Bieber,STAY (with Justin Bieber),Stay,2.0,1,16
2021-11-06,3,27NovPIUIRrOZoCHxABJwK,Lil Nas X,Lil Nas X & Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),Industry Baby,3.0,1,14
2021-11-06,4,58UKC45GPNTflCN6nwCUeF,Walker Hayes,Walker Hayes,Fancy Like,Fancy Like,4.0,3,19
2021-11-06,5,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Ed Sheeran,Bad Habits,Bad Habits,5.0,2,18
2021-11-06,6,0k1WUmIRnG3xU6fvvDVfRG,Drake,Drake Featuring Future & Young Thug,Way 2 Sexy (with Future & Young Thug),Way 2 Sexy,6.0,1,8
2021-11-06,7,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Ed Sheeran,Shivers,Shivers,9.0,7,7
2021-11-06,8,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,Olivia Rodrigo,good 4 u,Good 4 U,7.0,1,24
2021-11-06,9,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Doja Cat,Need to Know,Need To Know,11.0,9,20
2021-11-06,10,5nujrmhLynf4yMoMtj8AQF,Dua Lipa,Dua Lipa,Levitating (feat. DaBaby),Levitating,8.0,2,56
2021-11-06,11,5FG7Tl93LdH117jEKYl3Cm,Wizkid,Wizkid Featuring Justin Bieber & Tems,Essence (feat. Tems),Essence,12.0,9,17
2021-11-06,12,748mdHapucXQri7IAO8yFK,Doja Cat,Doja Cat Featuring SZA,Kiss Me More (feat. SZA),Kiss Me More,10.0,3,29
2021-11-06,13,3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Glass Animals,Heat Waves,Heat Waves,14.0,12,41
2021-11-06,14,3Wrjm47oTz2sjIgck11l5e,Måneskin,Maneskin,Beggin',Beggin',15.0,14,18
2021-11-06,15,6zSpb8dQRaw0M1dK8PBwQz,Elton John,Elton John & Dua Lipa,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),21.0,15,8
2021-11-06,16,0k4d5YPDr1r7FX77VdqWez,Doja Cat,Doja Cat & The Weeknd,You Right,You Right,16.0,11,18
2021-11-06,17,5QO79kh1waicV47BqGRL3g,The Weeknd,The Weeknd & Ariana Grande,Save Your Tears,Save Your Tears,17.0,1,46
2021-11-06,18,1WQ40xJSvgDmD9K7ckJwux,Jason Aldean,Jason Aldean & Carrie Underwood,If I Didn't Love You,If I Didn't Love You,23.0,15,14
2021-11-06,19,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,Olivia Rodrigo,traitor,Traitor,22.0,9,23
2021-11-06,20,1zvk4QIyIcb7uI6BK5TkQ9,RiNG-O Orgel,Coldplay x BTS,My Universe - (Orgel) [Cover] - Coldplay X BTS,My Universe,13.0,1,5
2021-11-06,21,7ACW7VpgoKmfM1sKo15UhX,Nardo Wick,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Who Want Smoke??,19.0,17,3
2021-11-06,22,3RqbdKluWasZbdRD1mj2pN,chipbagov,Drake Featuring 21 Savage & Project Pat,Knife Talk,Knife Talk,18.0,4,8
2021-11-06,23,07MDkzWARZaLEdKxo6yArG,THE ANXIETY,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,Meet Me At Our Spot,32.0,23,7
2021-11-06,24,1SC5rEoYDGUK4NfG82494W,Lil Nas X,Lil Nas X,MONTERO (Call Me By Your Name),Montero (Call Me By Your Name),24.0,1,31
2021-11-06,25,1ZIKpMTRPqhwAoVXWY3tXI,Ryan Hurd,Ryan Hurd With Maren Morris,Chasing After You (with Maren Morris),Chasing After You,25.0,23,26
2021-11-06,26,1NHlyKgtR4roNylOhidKSv,Tyga,Drake Featuring Lil Baby,Girls Have Fun (feat. G-Eazy & Rich The Kid),Girls Want Girls,26.0,2,8
2021-11-06,27,0VO8gYVDSwM1Qdd2GsMoYK,Swedish House Mafia,Swedish House Mafia & The Weeknd,Moth To A Flame (with The Weeknd),Moth To A Flame,,27,1
2021-11-06,28,0QiUPiXtBDGQZL7h2T8eXB,Bryson Gray,Bryson Gray Featuring Tyson James & Chandler Crump,Homemakers Clean,Let's Go Brandon,,28,1
2021-11-06,29,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,Lil Nas X,THATS WHAT I WANT,Thats What I Want,28.0,10,6
2021-11-06,30,5fwSHlTEWpluwOM0Sxnh5k,Farruko,Farruko,Pepas,Pepas,29.0,25,14
2021-11-06,31,3WCUe89UHsRHlxUUGLvSfj,Nasser,CKay,Love Nwantiti ( ah ah ah ) - Ckay b 3atma Mashup,Love Nwantiti (Ah Ah Ah),31.0,31,6
2021-11-06,32,2vgUijXOTRMnWXDtvgMp2b,The Weeknd,The Weeknd,Take My Breath,Take My Breath,27.0,6,12
2021-11-06,33,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Billie Eilish,Happier Than Ever,Happier Than Ever,30.0,11,13
2021-11-06,34,0nqhKXDjsyBMvbeWmgijD0,Moneybagg Yo,Moneybagg Yo,Wockesha,Wockesha,33.0,20,27
2021-11-06,35,6f5ExP43esnvdKPddwKXJH,NEIKED,NEIKED X Mae Muller X Polo G,Better Days (NEIKED x Mae Muller x Polo G),Better Days,57.0,35,2
2021-11-06,36,69AIpwGNLxr4qS1X5ynx60,Jordan Davis,Jordan Davis Featuring Luke Bryan,Buy Dirt,Buy Dirt,34.0,34,12
2021-11-06,37,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Justin Bieber,Ghost,Ghost,38.0,32,5
2021-11-06,38,36fpGAf7yaHajJP2QhHsPF,Loza Alexander,Loza Alexander,Lets Go Brandon,Lets Go Brandon,45.0,38,2
2021-11-06,39,7IWV29mryrqtO0JVgnPtfv,Luke Combs,Luke Combs,Cold As You,Cold As You,41.0,39,13
2021-11-06,40,2xdSF7JRootmerTeradyGb,Tai Verdes,Tai Verdes,A-O-K,A-O-K,36.0,34,17
2021-11-06,41,2UikqkwBv7aIvlixeVXHWt,Chris Stapleton,Chris Stapleton,You Should Probably Leave,You Should Probably Leave,40.0,40,17
2021-11-06,42,02VBYrHfVwfEWXk5DXyf0T,Bruno Mars,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,Leave The Door Open,44.0,1,34
2021-11-06,43,6NebrV4ZigAoXIRbe11hxh,Dustin Lynch,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You (feat. Lauren Alaina),Thinking 'Bout You,51.0,43,11
2021-11-06,44,1zYZs8Vbjhbzx5M3olcRnm,Lee Brice,Lee Brice,Memory I Don't Mess With,Memory I Don't Mess With,35.0,33,14
2021-11-06,45,4KDNRh9Oor80z3XIxdWlui,Young Thug,Young Thug With Drake & Travis Scott,Bubbly (with Drake & Travis Scott),Bubbly,20.0,20,2
2021-11-06,46,2vXgyN14LX2zl7JEASw242,Normani,Normani Featuring Cardi B,Wild Side (feat. Cardi B),Wild Side,47.0,14,15
2021-11-06,47,3J4VKkUpLvomXJbn9ZAypO,Meek Mill,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations (feat. Lil Baby & Lil Durk),Sharing Locations,43.0,22,9
2021-11-06,48,7wpyrkjEgz7W1vNYDxMKrF,Capella Grey,Capella Grey,GYALIS,Gyalis,46.0,38,13
2021-11-06,49,7u6kAP26NFU2rwNKjFUpI8,Old Dominion,Old Dominion,I Was On a Boat That Day,I Was On A Boat That Day,42.0,37,17
2021-11-06,50,3QFInJAm9eyaho5vBzxInN,Baby Keem,Baby Keem & Kendrick Lamar,family ties (with Kendrick Lamar),Family Ties,52.0,18,9
2021-11-06,51,5SixeLvPsYpk7qq9lo5xYg,Chlöe,Chloe,Have Mercy,Have Mercy,53.0,28,7
2021-11-06,52,4l87XsO8vkPlfT4fsY8s3X,DJ Davion,Drake Featuring Travis Scott,Fair Trade (Sped Up) - Remix,Fair Trade,48.0,3,8
2021-11-06,53,4HD9SLK4s9rwRyuFt3n8N7,Zac Brown Band,Zac Brown Band,Same Boat,Same Boat,55.0,53,6
2021-11-06,54,47fyYjbsfq48e3fUys4Xaa,Elvie Shane,Elvie Shane,My Boy,My Boy,37.0,28,18
2021-11-06,55,6Hfu9sc7jvv6coyy2LlzBF,Kanye West,Kanye West,Hurricane,Hurricane,58.0,6,9
