id,popularity,is_popular
0gplL1WMoJ6iYaPgMCL0gX,85,1
5HCyWlXZPP0y6Gqq8TgA20,87,1
27NovPIUIRrOZoCHxABJwK,84,1
58UKC45GPNTflCN6nwCUeF,76,1
3rmo8F54jFF8OgYsqTxm5d,87,1
7wcWkzT1X75DguAwOWxlGt,52,1
50nfwKoDiSYg8zOCREWAm5,88,1
4ZtFanR9U6ndgddUvNcjcG,87,1
3Vi5XqYrmQgOYBajMWSvCi,82,1
5nujrmhLynf4yMoMtj8AQF,85,1
5FG7Tl93LdH117jEKYl3Cm,75,1
3DarAbFujv6eYNliUTyqtz,82,1
3USxtqRwSYz57Ewm6wWRMp,88,1
3Wrjm47oTz2sjIgck11l5e,86,1
6zSpb8dQRaw0M1dK8PBwQz,87,1
0k4d5YPDr1r7FX77VdqWez,83,1
5QO79kh1waicV47BqGRL3g,90,1
1WQ40xJSvgDmD9K7ckJwux,72,1
5CZ40GBx1sQ9agT82CLQCT,87,1
1zvk4QIyIcb7uI6BK5TkQ9,0,0
7ACW7VpgoKmfM1sKo15UhX,71,1
3RqbdKluWasZbdRD1mj2pN,41,0
07MDkzWARZaLEdKxo6yArG,79,1
1SC5rEoYDGUK4NfG82494W,82,1
1ZIKpMTRPqhwAoVXWY3tXI,68,1
37Nqx7iavZpotJSDXZWbJ3,78,1
0VO8gYVDSwM1Qdd2GsMoYK,83,1
0QiUPiXtBDGQZL7h2T8eXB,42,0
0e8nrvls4Qqv5Rfa2UhqmO,84,1
5fwSHlTEWpluwOM0Sxnh5k,85,1
3WCUe89UHsRHlxUUGLvSfj,25,0
2vgUijXOTRMnWXDtvgMp2b,76,1
4RVwu0g32PAqgUiJoXsdF8,87,1
0nqhKXDjsyBMvbeWmgijD0,68,1
6f5ExP43esnvdKPddwKXJH,80,1
69AIpwGNLxr4qS1X5ynx60,82,1
6I3mqTwhRpn34SLVafSH7G,89,1
36fpGAf7yaHajJP2QhHsPF,48,0
7IWV29mryrqtO0JVgnPtfv,72,1
2xdSF7JRootmerTeradyGb,18,0
2UikqkwBv7aIvlixeVXHWt,80,1
02VBYrHfVwfEWXk5DXyf0T,84,1
6NebrV4ZigAoXIRbe11hxh,73,1
1zYZs8Vbjhbzx5M3olcRnm,70,1
4KDNRh9Oor80z3XIxdWlui,72,1
2vXgyN14LX2zl7JEASw242,71,1
3J4VKkUpLvomXJbn9ZAypO,68,1
7wpyrkjEgz7W1vNYDxMKrF,64,1
7u6kAP26NFU2rwNKjFUpI8,64,1
3QFInJAm9eyaho5vBzxInN,83,1
5SixeLvPsYpk7qq9lo5xYg,73,1
4l87XsO8vkPlfT4fsY8s3X,50,1
4HD9SLK4s9rwRyuFt3n8N7,62,1
47fyYjbsfq48e3fUys4Xaa,64,1
6Hfu9sc7jvv6coyy2LlzBF,74,1
1dIWPXMX4kRHj6Dt2DStUQ,76,1
33N9JGkr9McbbPEMgUjqPj,58,1
2EEfUuBRZA4Ax1vYcluFS0,62,1
4XZ8YGsNIF4UqE324Mbgfg,47,0
67wUHsoXdZ8UOLt6rodpQ9,66,1
25GyyK9CyZRiDCsPY51fIT,68,1
52nTQQahs46s1iHFQ3Wv5Q,58,1
6Uj1ctrBOjOas8xZXGqKk4,87,1
0uRrG2jRR5tuifsYIJHEao,80,1
4k3lPl8YTKuY8c1HelVnm3,76,1
4rPkN1FMzQyFNP9cLUGIIB,76,1
1tf4Bfk8JIKryLpWYRvyiI,67,1
4FdPnT2cFrpWCmWZd7GXc3,66,1
4c7LkE1lSNj3RR4cZo0jEi,62,1
3qAJAUr7yc9bPDx4ESt6ND,79,1
1t55dGrBkLvKDzNa9QJ3LV,65,1
6G2xXQRSZlEzYsUEb3uvuR,77,1
2vmfvSoZBFAt9hhRoEByLi,81,1
15npbUjCgwt2lRvyrJvyxw,65,1
67G6iaOw8DZqp1z8STR89R,68,1
4XvcHTUfIlWfyJTRG0aqlo,83,1
2Qt8qG9SWPdtRiaWcPNJRm,65,1
6z6OFc8qYsqUBSOWta3nLV,73,1
1IeCWMwZs4rCmwPOjZYWN7,56,1
0WSEq9Ko4kFPt8yo3ICd6T,77,1
4gzsuuZypVbxs0Af1LSZyB,83,1
3J5jotqUAjU479WhAiNkpU,65,1
1TlTzdsEpgfsmbuNfYmWfG,72,1
5zNW5ARjYhJQJz1AChP33n,71,1
5SulrwmIUDbU5TQQtoYHhL,54,1
0W6I02J9xcqK8MtSeosEXb,80,1
0BFGDkrXAneskCJdudSCro,64,1
6Zu3aw7FfjAF9WA0fA81Oq,74,1
1yRke3PmsyFrYlFZOAkABk,71,1
7hU3IHwjX150XLoTVmjD0q,80,1
2tUL6dZf1mywCj5WvCPZw6,74,1
6HIIuuUIEzH1meVdGbMXyf,78,1
5nhW8I46uDE5sc5ouEbzao,65,1
2aw1aEAxMe05MZIS5XiK8U,77,1
4Ec0q0j8hRTCX4QQ5MiHSX,59,1
2pUQX4d3Cjh3umGkVz0XyI,65,1
5lAnYvAIkSDNXqfo7DyFUm,80,1
0eu4C55hL6x29mmeAjytzC,78,1
3krZxyBsWEHfEfJegYaWTd,67,1
2cEnKRR4dYBB2VA1mjlb1z,73,1
5v65Atu3bOWYL1Tn4l2pvi,0,0
6HU7h9RYOaPRFeh0R3UeAr,86,1
1De7cOMrdUnVpjWBaowMg4,70,1
6kksmL4t09IgxhajuVDDxR,71,1
7zjEyeBsaw9gV0jofJLfOM,72,1
0uqsdBw9KvD8jSWmfMmMAp,52,1
3ruoIF2UnoXdzK8mR61ebq,81,1
2JPLbjOn0wPCngEot2STUS,86,1
2HSmyk2qMN8WQjuGhaQgCk,77,1
4cGqn0E8JCSY9gQllQj4Mf,76,1
3yFsyy1hw7v31NBrRJX2QM,56,1
03kozlqpm5twrblZia0m9j,51,1
58T4yPLn4NjBYXfRxeweyM,71,1
25r6MZ4Gtd76l43qnZI1DG,66,1
4iJyoBOLtHqaGxP12qzhQI,85,1
4fSIb4hdOQ151TILNsSEaF,81,1
1b8TpvCFqmJTd2xz9xE9s1,61,1
2DTpP3caqX3QdJIEoS83mD,69,1
0z8hI3OPS8ADPWtoCjjLl6,80,1
027269uzraETHuoG6aMs6a,62,1
2CMVajzxRuxsFNzYFkzjTb,60,1
14RtRKcWhxg2qPGLMR21tf,59,1
4s7TIubkdsgdtDEDFEAYVL,55,1
0QULNNd9z5s35entfiiXoa,73,1
6jjYDGxVJsWS0a5wlVF5vS,80,1
7eDkIDGKVe5B5RmTiEPiXJ,49,1
1cHFHTOMDb3zHcDwumFSCw,52,1
7Gs3otHnZDq514kFHf0nx7,68,1
67lvhLT01Fq3GEIrt5RpPn,47,0
5W8HXMOMLtXLz0RGKUtnlZ,72,1
308Ir17KlNdlrbVLHWhlLe,77,1
4IfJuDOnqRfVVnzsDaqPeL,49,1
7u5305l9KSUD6hKfpl3QSQ,48,0
4HTY26kzdGCKJF1EqcRd2J,60,1
4YFPUYwA9Jmk9xQYCbz3zb,49,1
4s7QLoImIwmPi9L6dq1nVW,74,1
4VCbgIdr8ptegWeJpqLVHH,72,1
2f2WskmLwsLtGkjntD8NG7,64,1
2hoR8CosGo9F4dTrE056ea,57,1
5QS8PNEWbqTEZyQ6e9ZbJf,74,1
2TDP5T7TSnD5oVn4Irg585,54,1
22mxylGJ4gUVXc70E7BrPJ,55,1
4ysh4U8WPIuKS8Ff1ttSaS,55,1
7CK0O8SL6liw5eoHCRAcJf,59,1
0UFXtWjUoj6mMOcIhuwKoM,54,1
1BCHhb7Zd9mK4X602uhZi3,54,1
6KgtcmCF9Ky68XC7ezxl3s,70,1
6nGwQVNLVqjUOPdzqIwB7U,52,1
36Mtea491T9xLpYuaY86EU,50,1
34D6FJysnQioVingDKufuf,69,1
0sr0YMdDTNNr4Lv4VnI3C8,54,1
11pEKMLmavDu8fxOB5QjbQ,72,1
6jy9yJfgCsMHdu2Oz4BGKX,70,1
4JPSK2W012QBtOtO3HJl9E,58,1
7CC6UbCs4iGsePSzFxYxNn,75,1
1Ov37jtRQ2YNAe8HzfczkL,85,1
1Xi84slp6FryDSCbzq4UCD,80,1
0whSaAvMslbr9uSEt6pjQy,13,0
7zQirOExB0VR8yWUOqYeio,61,1
6pmNoWKk0r6zfIjWneJRxR,67,1
