given_date,given_rank,track_id,spotify_artist,given_artist,spotify_title,given_title,given_last_week,given_peak_rank,given_weeks_on_board
2017-03-18,74,6xHI9KjUjYT0FPtGO8Mxa1,Luke Combs,Luke Combs,Hurricane,Hurricane,82,74,3
2017-03-18,75,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,Ed Sheeran,Castle on the Hill,Castle On The Hill,66,6,8
2017-03-18,76,3V8sM5OOG6YfDuDLa2IIYJ,Future,Future Featuring Drake,Used to This (feat. Drake),Used To This,67,14,17
2017-03-18,77,4gmmRb6bZJffOOiww1JGTO,21 Savage,21 Savage & Metro Boomin,No Heart,No Heart,85,43,19
2017-03-18,78,2jIT1TfSIjVik7Qu1B6P5h,Gucci Mane,Gucci Mane & Nicki Minaj,Make Love,Make Love,,78,1
2017-03-18,79,0ipcmHor30Y8p6hCd8QUVq,Eric Church,Eric Church Featuring Rhiannon Giddens,Kill A Word,Kill A Word,74,71,12
2017-03-18,80,1ehPJRt49h6N0LoryqKZXq,Alessia Cara,Alessia Cara,How Far I'll Go - Alessia Cara Version,How Far I'll Go,94,56,13
2017-03-18,81,48tAdjG4ng2JfECa7OQujk,Brantley Gilbert,Brantley Gilbert,The Weekend,The Weekend,81,69,9
2017-03-18,82,104buTcnP2AsxqB7U1FIZ4,Linkin Park,Linkin Park Featuring Kiiara,Heavy (feat. Kiiara),Heavy,52,52,2
2017-03-18,83,0WtDGnWL2KrMCk0mI1Gpwz,Childish Gambino,Childish Gambino,Redbone,Redbone,,48,13
2017-03-18,84,4nxgA1nvXvTkmsBY0vJV57,Lauren Alaina,Lauren Alaina,Road Less Traveled,Road Less Traveled,87,80,6
2017-03-18,85,10M2Ex445zw585Ducldzkw,Brett Young,Brett Young,In Case You Didn't Know,In Case You Didn't Know,92,75,4
2017-03-18,86,2xbI8Vmyv3TkpTdywpPyNw,PnB Rock,PnB Rock,Selfish,Selfish,90,51,17
2017-03-18,87,1nIyZKYmUsbEowiizbyr2Q,Thomas Rhett,Thomas Rhett,Star Of The Show,Star Of The Show,75,45,18
2017-03-18,88,6nxQdXa1uAL0rY72wPZu89,John Legend,John Legend,Love Me Now,Love Me Now,69,23,19
2017-03-18,89,4cxMGhkinTocPSVVKWIw0d,Russ,Russ,Losin Control,Losin Control,,89,1
2017-03-18,90,6mICuAdrwEjh6Y6lroV2Kg,Shakira,Shakira Featuring Maluma,Chantaje (feat. Maluma),Chantaje,80,51,16
2017-03-18,91,5sjIhQzNljMVrDklI91ezp,Blake Shelton,Blake Shelton,A Guy with a Girl,A Guy With A Girl,79,42,16
2017-03-18,92,4VFE6ZNqa8jHAmbYICoAFg,Florida Georgia Line,Florida Georgia Line Featuring Backstreet Boys,"God, Your Mama, And Me","God, Your Mama, And Me",,92,1
2017-03-18,93,5OUSPcqhYTOzpbXzoEvKim,Keith Urban,Keith Urban Featuring Carrie Underwood,The Fighter,The Fighter,86,53,4
2017-03-18,94,0TBgMKD86t1VP3IzhxCoUl,Migos,Migos Featuring Gucci Mane,Slippery (feat. Gucci Mane),Slippery,89,48,5
2017-03-18,95,6tHt7Ln9RV8FTlT4kTxr2b,PARTYNEXTDOOR,PARTYNEXTDOOR,Not Nice,Not Nice,88,82,7
2017-03-18,96,5C6uh95eAL0RBTSGXKQwvk,Josh Turner,Josh Turner,Hometown Girl,Hometown Girl,,96,1
